p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
FLT1	0	4.8525936591912	0.947	0.106	0	Endo	FLT1
CLDN5	0	4.51120449443158	0.913	0.034	0	Endo	CLDN5
ABCB1	0	4.47932005503806	0.919	0.1	0	Endo	ABCB1
ELOVL7	0	4.40176107159833	0.925	0.037	0	Endo	ELOVL7
ATP10A	0	4.30010741434525	0.898	0.08	0	Endo	ATP10A
VWF	0	4.17762963087823	0.905	0.036	0	Endo	VWF
SLC7A5	0	3.87066504243095	0.785	0.037	0	Endo	SLC7A5
ST6GALNAC3	0	3.76151746039634	0.952	0.215	0	Endo	ST6GALNAC3
MECOM	0	3.68394076058157	0.892	0.118	0	Endo	MECOM
PTPRB	0	3.47362934365847	0.811	0.021	0	Endo	PTPRB
TSHZ2	0	3.33798472273906	0.452	0.061	0	Endo	TSHZ2
ERG	0	3.32369256622611	0.801	0.038	0	Endo	ERG
FLI1	0	3.31676828190791	0.832	0.146	0	Endo	FLI1
SLC7A1	0	3.23846381249395	0.708	0.053	0	Endo	SLC7A1
ANO2	0	3.22143620322047	0.865	0.215	0	Endo	ANO2
GALNT18	0	3.2125629675577	0.849	0.185	0	Endo	GALNT18
ST8SIA6	0	3.05363420490992	0.674	0.016	0	Endo	ST8SIA6
EGFL7	0	3.04355866147964	0.799	0.068	0	Endo	EGFL7
PECAM1	0	3.02854331910831	0.768	0.025	0	Endo	PECAM1
MT2A	0	2.99405753234328	0.686	0.167	0	Endo	MT2A
ARL15	0	2.96631922989756	0.812	0.321	0	Endo	ARL15
ITGA6	0	2.94841411863701	0.693	0.039	0	Endo	ITGA6
PODXL	0	2.93685865821647	0.78	0.077	0	Endo	PODXL
RNF144B	0	2.9242171996858	0.647	0.023	0	Endo	RNF144B
ADGRL4	0	2.87705079695342	0.69	0.013	0	Endo	ADGRL4
TBC1D4	0	2.87685193675743	0.804	0.167	0	Endo	TBC1D4
SLC16A1	0	2.87276059674497	0.535	0.043	0	Endo	SLC16A1
DOCK9	0	2.86876830403952	0.912	0.414	0	Endo	DOCK9
BTNL9	0	2.84054625969345	0.648	0.041	0	Endo	BTNL9
SLC39A10	0	2.78500899363444	0.691	0.168	0	Endo	SLC39A10
THSD7A	0	2.76995999148544	0.571	0.053	0	Endo	THSD7A
SLC2A1	0	2.7637592674979	0.721	0.099	0	Endo	SLC2A1
HLA-E	0	2.75221717149499	0.79	0.177	0	Endo	HLA-E
MKL2	0	2.70985395727756	0.854	0.355	0	Endo	MKL2
ABCG2	0	2.69369536939824	0.635	0.034	0	Endo	ABCG2
KCTD8	0	2.63622203475742	0.463	0.068	0	Endo	KCTD8
SLCO4A1	0	2.63532316861188	0.612	0.021	0	Endo	SLCO4A1
TGM2	0	2.61135566358547	0.704	0.058	0	Endo	TGM2
TMSB10	0	2.60501735127577	0.74	0.217	0	Endo	TMSB10
SLCO2B1	0	2.52326025195337	0.683	0.066	0	Endo	SLCO2B1
NFIB	0	2.46741311622304	0.755	0.212	0	Endo	NFIB
ANGPT2	0	2.46456498351113	0.371	0.091	0	Endo	ANGPT2
CDYL2	0	2.45742542326694	0.606	0.028	0	Endo	CDYL2
SEC14L1	0	2.44513832942327	0.806	0.299	0	Endo	SEC14L1
ADIPOR2	0	2.44207992260269	0.802	0.283	0	Endo	ADIPOR2
ITM2A	0	2.43914574469428	0.549	0.039	0	Endo	ITM2A
CCDC85A	0	2.43472106202001	0.53	0.035	0	Endo	CCDC85A
SLC1A1	0	2.42007019220264	0.676	0.098	0	Endo	SLC1A1
IFI27	0	2.39999580886877	0.554	0.05	0	Endo	IFI27
INPP5D	0	2.39695457439259	0.557	0.025	0	Endo	INPP5D
CMTM8	0	2.39364993444884	0.631	0.094	0	Endo	CMTM8
ID1	0	2.38184130158027	0.577	0.077	0	Endo	ID1
ZNF366	0	2.37589424711599	0.474	0.005	0	Endo	ZNF366
EDN1	0	2.36636286418547	0.364	0.01	0	Endo	EDN1
CGNL1	0	2.36128286626194	0.68	0.137	0	Endo	CGNL1
SGPP2	0	2.35678774488209	0.529	0.016	0	Endo	SGPP2
SAMD12	0	2.33114847696668	0.679	0.158	0	Endo	SAMD12
EPAS1	0	2.3289395178238	0.92	0.404	0	Endo	EPAS1
RUNDC3B	0	2.30793126714616	0.564	0.044	0	Endo	RUNDC3B
ANXA3	0	2.29385853355163	0.537	0.014	0	Endo	ANXA3
ETS2	0	2.29228212117524	0.669	0.154	0	Endo	ETS2
ST6GAL1	0	2.28820054537378	0.708	0.208	0	Endo	ST6GAL1
LRMDA	0	2.28272911837804	0.716	0.204	0	Endo	LRMDA
NEDD9	0	2.27571765370988	0.697	0.167	0	Endo	NEDD9
LIMCH1	0	2.26927761803497	0.731	0.236	0	Endo	LIMCH1
CXorf36	0	2.23270273571675	0.523	0.006	0	Endo	CXorf36
RPGR	0	2.22300618974086	0.637	0.137	0	Endo	RPGR
HEG1	0	2.21702703417821	0.623	0.11	0	Endo	HEG1
MFSD2A	0	2.21082510993699	0.497	0.008	0	Endo	MFSD2A
MCF2L	0	2.20478142733228	0.618	0.083	0	Endo	MCF2L
SORBS2	0	2.18590276402503	0.8	0.233	0	Endo	SORBS2
PLEKHG1	0	2.18516264461968	0.824	0.383	0	Endo	PLEKHG1
GRB10	0	2.16203626159808	0.692	0.225	0	Endo	GRB10
ACER2	0	2.15663320391099	0.5	0.059	0	Endo	ACER2
PON2	0	2.14573848200255	0.698	0.228	0	Endo	PON2
MCTP1	0	2.14419498277796	0.43	0.081	0	Endo	MCTP1
PLXNA2	0	2.08651994568204	0.667	0.199	0	Endo	PLXNA2
EMCN	0	2.07509235758745	0.548	0.093	0	Endo	EMCN
TFRC	0	2.07379110349542	0.537	0.094	0	Endo	TFRC
SRGN	0	2.04670796702972	0.646	0.147	0	Endo	SRGN
B2M	0	2.04050051391257	0.824	0.446	0	Endo	B2M
CYYR1	0	2.03503842632742	0.445	0.021	0	Endo	CYYR1
CD34	0	2.03071151093	0.469	0.011	0	Endo	CD34
IL4R	0	2.02586014819838	0.655	0.204	0	Endo	IL4R
GALNT15	0	2.01156549843478	0.655	0.157	0	Endo	GALNT15
SPOCK2	0	2.0052485846573	0.496	0.054	0	Endo	SPOCK2
TEK	0	1.99571497672985	0.492	0.024	0	Endo	TEK
CSGALNACT1	0	1.98635642257073	0.389	0.06	0	Endo	CSGALNACT1
A2M	0	1.98520459678651	0.678	0.22	0	Endo	A2M
CHSY1	0	1.97909718370249	0.676	0.25	0	Endo	CHSY1
CCNY	0	1.9756893158552	0.851	0.548	0	Endo	CCNY
RIMKLB	0	1.96873735465061	0.545	0.283	0	Endo	RIMKLB
HERC2	0	1.96264252756739	0.855	0.57	0	Endo	HERC2
PRKCH	0	1.96045990600728	0.813	0.36	0	Endo	PRKCH
PALMD	0	1.94677953161185	0.575	0.111	0	Endo	PALMD
SPOCK3	0	1.9408489549805	0.432	0.086	0	Endo	SPOCK3
CDH2	0	1.93742677324139	0.444	0.047	0	Endo	CDH2
TIE1	0	1.93554275949895	0.481	0.005	0	Endo	TIE1
LAMA3	0	1.92078930292777	0.43	0.027	0	Endo	LAMA3
MT1E	0	1.91091147077367	0.358	0.032	0	Endo	MT1E
SRARP	0	1.90414469214127	0.453	0.019	0	Endo	SRARP
CNKSR3	0	1.89937117860117	0.468	0.1	0	Endo	CNKSR3
EPHA4	0	1.8975129324892	0.541	0.074	0	Endo	EPHA4
ESYT2	0	1.89748541345565	0.858	0.498	0	Endo	ESYT2
FAM155A	0	1.8937669107305	0.408	0.204	0	Endo	FAM155A
IRAK3	0	1.88450470369384	0.704	0.275	0	Endo	IRAK3
MYO1E	0	1.87749330488648	0.631	0.175	0	Endo	MYO1E
HLA-B	0	1.86447113600361	0.549	0.131	0	Endo	HLA-B
LMBR1	0	1.8618389655282	0.71	0.27	0	Endo	LMBR1
